Name,Overall,Value
 De Marcos,80,11000000
 Y. Tielemans,79,20000000
 Grimaldo,80,17000000
 Cédric,78,10000000
 Sergi Roberto,82,23000000
 Lucas Leiva,82,16000000
 Andeson Trigo,75,5000000
 M. Arnautović,81,18000000
 A. Golovin,79,17000000
 B. Džemaili,77,7000000
 D. Baselli,79,15000000
 Mario Gaspar,80,14000000
 A. Oxlade-Chamberlain,81,23000000
 C. Eriksen,88,74000000
 V. Wanyama,81,18000000
 A. Ayew,78,11000000
 J. Veretout,78,13000000
 D. Kombarov,73,2000000
 M. Ekici,77,9000000
 J. Vertonghen,86,33000000
 T. Mangani,78,9000000
 S. Agüero,89,66000000
 Mário Fernandes,81,15000000
 André Gomes,82,30000000
 S. Corchia,77,8000000
 P. Groß,78,12000000
 P. Dybala,89,89000000
 R. Brady,77,10000000
 Illarramendi,81,18000000
 D. Zappacosta,79,13000000
 F. Ghoulam,80,14000000
 Portu,78,13000000
 J. Willems,76,8000000
 D. Sidibé,79,12000000
 D. Didavi,81,18000000
 Cesc Fàbregas,85,35000000
 D. Klaassen,80,18000000
 T. Müller,86,47000000
 M. Bradley,77,7000000
 K. Trippier,80,14000000
 B. Natcho,78,10000000
 G. Donsah,75,9000000
 L. Fer,77,9000000
 Thiago Mendes,76,9000000
 J. Obi,75,7000000
 N. Fekir,84,40000000
 M. Kovačić,82,30000000
 M. Lemina,77,11000000
 J. Vardy,82,21000000
 Y. Touré,80,7000000
 O. Yokuşlu,76,9000000
 T. Arslan,76,7000000
 Campaña,79,15000000
 Capa,78,10000000
 D. Brosinski,76,6000000
 Rômulo,76,7000000
 Coutinho,87,63000000
 Fernando,79,14000000
 O. Ndidi,80,17000000
 K. Volland,81,22000000
 M. Weiser,78,11000000
 D. Drinkwater,80,15000000
 Wendel,74,10000000
 A. Marušić,77,11000000
 M. Díaz,77,8000000
 C. Jallet,76,3000000
 A. Martial,83,36000000
 M. Risse,77,9000000
 T. Kalachev,73,1000000
 A. Robben,87,30000000
 Juanfran,82,12000000
 H. Çalhanoğlu,80,19000000
 J. Hendrick,75,8000000
 C. Borges,78,8000000
 Ricardo Esgaio,77,11000000
 Y. Zhirkov,75,2000000
 D. Blind,80,12000000
 V. Koziello,77,12000000
 R. Battaglia,77,10000000
 F. Tabanou,73,3000000
 S. Zuber,76,7000000
 M. Plattenhardt,78,10000000
 J. Pied,73,3000000
 I. Piatti,80,11000000
 B. Zungu,75,9000000
 Gayà,79,14000000
 L. Zuffi,75,6000000
 M. Antonio,79,13000000
 M. Höger,76,8000000
 J. Gondorf,75,6000000
 M. Wakaso,74,6000000
 Joãozinho,78,10000000
 Júnior Caiçara,76,6000000
 N. Şahin,79,10000000
 L. Dendoncker,77,10000000
 Everticinho,77,6000000
 S. Coleman,81,14000000
 J. Dueñas,75,5000000
 J. Ward-Prowse,77,12000000
 A. Doucouré,80,16000000
 G. Zusi,72,2000000
 T. Rincón,77,8000000
 A. Candreva,81,17000000
 Giuliano,83,29000000
 M. Arnold,79,16000000
 A. Ioniţă,75,7000000
 D. Pabón,77,8000000
 Victor Sánchez,78,8000000
 P. Aubameyang,87,52000000
 J. Cork,78,10000000
 M. Götze,83,33000000
 J. Pastore,83,25000000
 A. Silva,75,7000000
 M. Hummels,90,62000000
 J. Sánchez Miño,73,3000000
 R. Pereyra,79,15000000
 J. Roussillon,77,10000000
 O. Wendt,77,6000000
 Borja Valero,82,17000000
 J. Allen,78,10000000
 G. Gönül,77,4000000
 M. Lowton,78,8000000
 L. Sané,85,54000000
 A. Hutchinson,80,4000000
 S. Vrsaljko,80,15000000
 N. Bentaleb,79,16000000
 André Simões,77,9000000
 J. Lerma,76,10000000
 E. Belözoğlu,79,4000000
 P. Hernández,80,13000000
 A. Büttner,73,3000000
 L. Castro,78,10000000
 Y. Ayoub,76,10000000
 A. Pléa,80,19000000
 P. Mamaev,78,10000000
 M. Debuchy,77,6000000
 Willian,84,31000000
 B. André,77,9000000
 J. Lingard,81,22000000
 Iniesta,87,29000000
 J. Guðmundsson,78,11000000
 Marlos,82,21000000
 A. Mooy,78,12000000
 E. Insúa,76,6000000
 O. Trejo,77,8000000
 E. Dier,81,19000000
 Souza,79,10000000
 M. Rashford,81,26000000
 R. Karsdorp,77,10000000
 M. Isla,77,6000000
 K. Demirbay,80,19000000
 H. Son,84,39000000
 A. Regattin,76,9000000
 O. Onazi,74,6000000
 M. Benassi,77,11000000
 T. Partey,80,17000000
 J. Hector,80,12000000
 S. Mané,84,37000000
 Bernat,77,9000000
 G. Gillet,75,2000000
 Taison,82,21000000
 J. dos Santos,77,9000000
 André André,76,8000000
 L. Torreira,78,14000000
 N. Cardozo,76,7000000
 F. Frei,75,6000000
 C. Gardner,72,2000000
 L. Digne,79,14000000
 A. Trebel,77,10000000
 Iago Aspas,84,30000000
 J. Amavi,76,8000000
 L. Bacuna,70,2000000
 M. Kruse,82,22000000
 Escudero,79,10000000
 Vieirinha,77,8000000
 P. Capelle,75,6000000
 Melvin Parrela,75,5000000
 A. Lacazette,84,37000000
 Carlos Soler,78,16000000
 D. Mertens,87,48000000
 C. Maggio,74,1000000
 N. Clyne,81,17000000
 E. Lamela,80,17000000
 D. Pröpper,77,11000000
 M. Sabitzer,81,22000000
 Iborra,81,14000000
 V. Behrami,75,3000000
 J. Lukaku,77,12000000
 J. Bryan,75,7000000
 Lucas,82,27000000
 A. Cresswell,74,5000000
 I. Denisov,80,6000000
 J. Buffarini,75,5000000
 Juanfran,76,6000000
 M. Çağıran,74,6000000
 L. Podolski,78,8000000
 S. Lichtsteiner,80,5000000
 Montoya,78,10000000
 M. Diamé,74,5000000
 J. Shelvey,78,12000000
 L. Vangioni,76,5000000
 Sergio Busquets,87,41000000
 D. Kuzyaev,77,11000000
 M. Schneiderlin,80,12000000
 N. Keïta,83,34000000
 Fabián,77,12000000
 O. Şahiner,75,8000000
 A. Samedov,79,10000000
 B. Dejaegere,74,6000000
 Felipe Anderson,81,22000000
 M. Pereyra,77,9000000
 S. Siani,73,3000000
 L. Bender,83,21000000
 Léo Matos,75,4000000
 R. Zobnin,78,12000000
 Lucas Vázquez,82,26000000
 A. González,74,7000000
 M. Halstenberg,78,10000000
 Yuri Berchiche,78,8000000
 P. Lasne,76,7000000
 E. Salvio,80,16000000
 K. El Ahmadi,79,9000000
 I. Smolnikov,79,10000000
 B. Davies,81,18000000
 T. Alderweireld,85,35000000
 Carvajal,84,32000000
 M. Krohn-Dehli,77,4000000
 Nélson Semedo,81,20000000
 Koo Ja Cheol,76,8000000
 Alberto Moreno,77,9000000
 D. Janmaat,76,6000000
 H. Ziyech,81,23000000
 R. Alessandrini,78,10000000
 Y. Sankharé,76,8000000
 Paulo Mesqueira,72,2000000
 P. Zieliński,80,20000000
 A. Candelo,72,2000000
 Aleix Vidal,76,6000000
 Danilo,76,10000000
 I. Gueye,82,18000000
 M. Jensen,74,5000000
 A. Schürrle,79,13000000
 J. Berthomier,72,3000000
 K. Gameiro,82,21000000
 K. Honda,79,11000000
 D. Payet,84,29000000
 T. Hazard,82,28000000
 Y. M'Vila,79,12000000
 S. Widmer,76,9000000
 A. Duncan,75,9000000
 M. Depay,81,24000000
 Emilio Piodão,74,5000000
 K. Kampl,82,25000000
 M. Fellaini,79,12000000
 U. Emanuelson,73,3000000
 D. Aogo,74,4000000
 M. Rybus,71,2000000
 Ismaily,78,8000000
 L. Ocampos,76,10000000
 S. N'Zonzi,83,21000000
 T. Taiwo,71,1000000
 A. Masuaku,76,9000000
 Jaume Costa,79,9000000
 G. Lo Celso,77,12000000
 Elias Fontoira,73,1000000
 O. Tufan,75,7000000
 C. Brunt,74,4000000
 J. Martin,76,8000000
 Rodrigo,81,21000000
 A. Yarmolenko,81,18000000
 V. Rongier,78,14000000
 S. Zaza,82,26000000
 Danilo Pereira,83,27000000
 J. Jankto,76,11000000
 A. Kokorin,80,17000000
 K. Mirallas,79,12000000
 M. Topal,78,7000000
 C. Hourihane,74,6000000
 E. Polański,74,3000000
 D. Türüç,75,8000000
 L. Milivojević,78,11000000
 M. de Roon,76,9000000
 K. Acosta,72,4000000
 Marco Asensio,84,46000000
 G. Sertic,73,3000000
 Rafael Carioca,77,9000000
 R. Malinovskyi,74,7000000
 P. Sisto,77,12000000
 C. Doukouré,74,6000000
 Granell,75,6000000
 R. Durmisi,73,4000000
 Nacho Monreal,80,10000000
 Raffael,81,14000000
 L. De Silvestri,77,6000000
 A. Gómez,84,31000000
 L. Pellegrini,78,14000000
 E. Mas,75,5000000
 D. Stotskiy,73,3000000
 V. Berisha,75,8000000
 J. De Guzmán,75,6000000
 A. Najar,73,4000000
 D. Sinkgraven,74,6000000
 K. Rausch,72,2000000
 Bartra,81,18000000
 Elustondo,74,5000000
 S. Özbayraklı,75,5000000
 Pablo Fornals,78,15000000
 L. Schøne,76,6000000
 L. Shaw,78,11000000
 A. Adnan,73,4000000
 Bernardo Silva,84,42000000
 Raul García,74,4000000
 Camacho,81,17000000
 João Aurélio,74,4000000
 J. Mathieu,81,7000000
 G. Escalante,78,12000000
 V. van Dijk,84,31000000
 M. Rojo,80,14000000
 B. Douglas,74,4000000
 Rubén Peña,74,6000000
 R. Espinoza,72,2000000
 M. Fernández,78,9000000
 Bruno,82,13000000
 J. Svensson,75,7000000
 Z. Ibrahimović,85,17000000
 P. Aguilar,76,5000000
 Q. Promes,83,31000000
 P. Armero,72,2000000
 Costinha,76,10000000
 D. Stephens,75,6000000
 L. Holtby,75,8000000
 F. Thauvin,83,33000000
 F. Coquelin,80,14000000
 R. Funes Mori,78,12000000
 R. Palacio,78,4000000
 N. Tagliafico,79,13000000
 Lekue,75,7000000
 R. Bertrand,79,10000000
 S. Verdi,81,22000000
 D. Latza,77,9000000
 B. Dabo,73,4000000
 S. Eto'o,81,6000000
 David Simão,74,6000000
 Ki Sung Yueng,76,7000000
 B. Oczipka,78,8000000
 M. Noble,76,7000000
 L. Bittencourt,78,13000000
 Falcao,85,34000000
 C. Mayada,73,3000000
 M. Fabián,79,13000000
 Jonas,84,19000000
 R. Lukaku,86,59000000
 O. Pineda,74,8000000
 J. McCarthy,78,10000000
 I. Köybaşı,74,4000000
 T. Cairney,78,12000000
 M. Diouf,77,9000000
 Mariano,80,20000000
 M. Badelj,79,10000000
 B. Johnson,70,1000000
 K. Nakamura,73,1000000
 M. Boland,72,2000000
 Ibai Gómez,76,8000000
 J. Hernández,75,6000000
 S. Armstrong,75,8000000
 Tiago Pinto,74,4000000
 P. van Aanholt,75,6000000
 S. Johansen,74,6000000
 D. Suárez,74,4000000
 H. Arter,76,8000000
 L. Rupp,76,9000000
 T. Ciğerci,75,7000000
 A. Hurtado,78,10000000
 A. Correa,80,20000000
 N. Asare,74,4000000
 D. Zurutuza,79,11000000
 T. Stepanenko,80,14000000
 R. Sterling,85,49000000
 Sérgio Oliveira,76,10000000
 David Silva,89,58000000
 Gabriel,75,9000000
 S. Ward,76,5000000
 A. Erokhin,74,6000000
 Kiko Femenía,76,7000000
 J. Błaszczykowski,75,6000000
 P. Diop,76,5000000
 Pedro Santos,75,6000000
 W. Ben Yedder,81,19000000
 L. Augustinsson,75,7000000
 O. Zinchenko,70,2000000
 Bruno Alves,74,1000000
 J. Akpa Akpro,74,7000000
 V. Kovalenko,74,8000000
 Fábio Martins,77,12000000
 E. Višća,80,15000000
 Claudiano Sobrino,74,2000000
 O. Alonso,76,5000000
 A. Costa,73,3000000
 Aduriz,84,11000000
 A. Acquah,73,4000000
 A. Christiansen,73,4000000
 P. Schwegler,76,5000000
 E. Skhiri,75,7000000
 Rúben Ribeiro,76,7000000
 Santi Cazorla,80,11000000
 P. Wernbloom,80,10000000
 Sidney Pessinho,77,8000000
 L. Melgarejo,74,6000000
 Fran Mérida,73,3000000
 M. Meyer,79,17000000
 Nildo Petrolina,73,3000000
 Granero,78,10000000
 F. Schär,77,9000000
 Marçal,77,7000000
 Morales,79,12000000
 Adrián González,74,4000000
 J. Larsson,71,2000000
 Y. Gerhardt,75,7000000
 Gabriel Jesus,83,41000000
 F. Mussis,75,7000000
 Luiz Gustavo,82,17000000
 M. Ritchie,76,8000000
 D. Williams,71,2000000
 J. Fleck,73,4000000
 M. Vecino,79,13000000
 N. Chadli,78,11000000
 B. Sarr,76,7000000
 S. Rode,77,8000000
 Denis Suárez,80,20000000
 B. Alemán,74,6000000
 J. Fernández,73,3000000
 J. Farfán,79,10000000
 F. Midtsjø,75,8000000
 R. Barkley,80,19000000
 G. Vural,72,3000000
 J. Schmid,74,6000000
 Y. Gourcuff,77,8000000
 Enzo Merques,71,900000
 J. Puncheon,73,3000000
 S. Arfield,73,4000000
 J. Irvine,71,3000000
 Edercinho Sepa,74,4000000
 Alex Berenguer,76,10000000
 G. Pizarro,78,10000000
 J. Morrison,75,6000000
 S. Dubarbier,73,2000000
 G. Medel,81,14000000
 C. Immobile,86,47000000
 R. Tapia,73,4000000
 D. Kaiser,72,3000000
 E. Barreto,74,4000000
 Zeca,74,5000000
 S. Kums,75,6000000
 G. Shibasaki,75,7000000
 A. Gignac,81,16000000
 D. González,76,7000000
 A. Barák,77,12000000
 Lucas Lima,75,6000000
 Wendell,77,9000000
 V. Birsa,80,14000000
 R. Sambueza,76,4000000
 E. Schelotto,75,5000000
 Ronaldo Cabrais,76,8000000
 João Pereira,75,2000000
 D. Valeri,80,13000000
 H. Medunjanin,76,6000000
 Castro,74,5000000
 C. Daniels,75,4000000
 O. Martínez,74,4000000
 D. van de Beek,77,12000000
 Raphinha,79,18000000
 D. D'Ambrosio,76,6000000
 Fábio Espinho,74,4000000
 A. Ring,74,6000000
 A. Frączczak,69,1000000
 A. Behich,74,5000000
 J. Toornstra,76,8000000
 Santi Mina,77,12000000
 L. Christodoulopoulos,75,6000000
 J. Tavernier,73,4000000
 Rodri,77,13000000
 P. Zabaleta,76,4000000
 B. Bourigeaud,74,7000000
 Recio,77,9000000
 T. Alexander-Arnold,75,9000000
 F. Bernardeschi,82,30000000
 D. Kreilach,74,5000000
 A. Oğuz,73,4000000
 S. de Jong,74,5000000
 S. Davis,75,5000000
 S. Okazaki,77,8000000
 J. Gbamin,78,12000000
 S. Larsson,72,2000000
 E. Gutiérrez,76,11000000
 Sergio Álvarez,77,11000000
 G. İnler,76,3000000
 R. Boudebouz,81,18000000
 Javi Martínez,84,25000000
 A. Poli,76,8000000
 S. Wuytens,73,3000000
 L. Dubois,77,10000000
 Héctor Bellerín,80,17000000
 C. Adam,73,3000000
 Omar Mascarell,77,10000000
 André Almeida,78,10000000
 B. Jokič,75,4000000
 Y. Erdoğan,73,4000000
 G. Dorrans,73,3000000
 S. Brown,77,5000000
 A. Browne,70,2000000
 Juan Mata,83,25000000
 P. Højbjerg,76,10000000
 I. Ghaleb,72,2000000
 Pedrinho,73,5000000
 V. Germain,79,13000000
 P. Max,78,11000000
 B. Kayal,72,3000000
 Carlos Eduardo,77,9000000
 E. Akbaba,76,10000000
 Y. Brahimi,84,32000000
 Aitor Sanz,75,3000000
 J. McClean,73,4000000
 Pedro,83,25000000
 A. Elmohamady,72,2000000
 Miguel Lopes,78,7000000
 Douglas Santos,75,7000000
 M. Olsson,75,5000000
 William,70,1000000
 J. Ferri,74,6000000
 L. Bonucci,86,33000000
 F. Mendy,75,9000000
 H. Henao,71,1000000
 Toño García,75,5000000
 Welington Dano,76,6000000
 A. Zambo Anguissa,75,8000000
 Sergio Tejera,74,6000000
 José Callejón,83,24000000
 Everton Andrão,76,3000000
 M. Almirón,80,19000000
 I. Traoré,80,14000000
 R. Cohade,74,4000000
 A. Robertson,79,14000000
 M. Schmelzer,79,9000000
 L. Diarra,80,8000000
 G. Mendes Rodrigues,78,11000000
 G. Xhaka,82,27000000
 F. Andone,79,16000000
 K. Malcuit,75,6000000
 Diogo Figueiras,74,5000000
 Guilherme,76,7000000
 C. Roldan,73,4000000
 R. Oshima,71,2000000
 D. Cheryshev,76,8000000
 J. Livermore,74,6000000
 Roberto Torres,74,5000000
 M. Gajos,72,3000000
 B. Ivanović,82,9000000
 M. Estigarribia,72,3000000
 E. Haji Safi,70,1000000
 A. Rojas,73,3000000
 Borja García,77,10000000
 L. Perrin,81,12000000
 O. El Kaddouri,76,9000000
 J. Dátolo,77,5000000
 M. Suttner,73,2000000
 Arbilla,74,4000000
 S. Kljestan,74,4000000
 S. Igboun,75,7000000
 G. Fernández,75,8000000
 M. Darmian,78,8000000
 A. Thomasson,74,7000000
 C. Paterson,70,2000000
 J. Lens,79,12000000
 R. Mahrez,84,33000000
 A. Cohen,73,3000000
 S. İnan,75,5000000
 R. Dartés,73,1000000
 Oswaldito Cuba,73,1000000
 B. Sagna,75,1000000
 C. Träsch,75,5000000
 M. Jojić,75,8000000
 Pedro Obiang,77,9000000
 R. Bazoer,75,10000000
 M. Albrighton,76,8000000
 K. Gibbs,77,7000000
 Nolito,79,12000000
 V. Ignatiev,72,2000000
 D. Praet,76,10000000
 Javi García,78,7000000
 Vitolo,83,27000000
 J. Obita,71,2000000
 R. Woods,72,3000000
 L. Bailey,82,30000000
 M. Zeegelaar,75,6000000
 O. Şahan,74,5000000
 S. Padoin,72,1000000
 L. Insigne,87,59000000
 P. Piatti,80,15000000
 R. Haps,75,7000000
 J. Boateng,87,41000000
 P. Ebert,73,3000000
 Bruma,80,20000000
 G. Castellani,72,3000000
 Dani Ceballos,78,16000000
 D. Demme,79,13000000
 C. Stuani,79,12000000
 C. Löwe,73,3000000
 Juankar,74,4000000
 S. Prediger,69,975000
 Y. Candelo,71,2000000
 Lafortiscinho,75,6000000
 B. Traoré,79,17000000
 O. Adın,70,1000000
 O. Elabdellaoui,74,6000000
 I. Afellay,75,6000000
 J. Gutiérrez,74,3000000
 L. Rigoni,75,5000000
 R. Álvarez,75,6000000
 I. Latovlevici,71,1000000
 J. Ayew,77,10000000
 A. Tettey,71,1000000
 N. Lodeiro,77,9000000
 C. Baeza,72,4000000
 D. Torres,77,8000000
 Camarasa,76,10000000
 R. Bobadilla,76,7000000
 B. Reid,73,5000000
 N. Müller,78,10000000
 S. Ristovski,75,7000000
 Nuno Pinto,75,4000000
 G. Johnson,73,2000000
 E. Bicfalvi,75,6000000
 M. Britos,75,7000000
 Óliver Torres,79,16000000
 R. Yabo,74,7000000
 Renato Neto,74,7000000
 A. Aquilani,75,5000000
 G. Saville,73,5000000
 M. Casco,73,3000000
 Diego Rico,76,8000000
 D. Baier,79,5000000
 Diego Costa,85,40000000
 V. Denisov,79,9000000
 Odriozola,78,13000000
 M. Dahoud,79,18000000
 E. Hallfreðsson,72,1000000
 I. Cofie,72,3000000
 J. Sala,72,3000000
 J. Poulsen,74,3000000
 C. Kouyaté,76,6000000
 M. Stendera,75,9000000
 O. Bayram,69,1000000
 Kaimo Lima,75,2000000
 P. De Blasis,76,7000000
 Bruno Xadas,74,9000000
 M. Gonalons,76,6000000
 M. Jajalo,73,3000000
 J. Ralls,73,5000000
 S. Gashi,70,1000000
 T. Cleverley,76,8000000
 T. Chandler,77,7000000
 K. Wolze,70,1000000
 Piqué,87,37000000
 Mossoró,76,4000000
 D. Laxalt,78,13000000
 T. Barnetta,75,5000000
 J. Güemez,69,1000000
 J. Vázquez,77,7000000
 Ronaldo Esler,77,6000000
 B. Watson,73,2000000
 D. Santon,75,5000000
 T. Xhaka,73,4000000
 Javi Fuego,79,5000000
 D. Arias,73,2000000
 E. Capoue,76,6000000
 L. Cigarini,75,5000000
 H. Afful,72,2000000
 David Villa,81,8000000
 M. Saracchi,72,4000000
 D. Yedlin,76,8000000
 L. Tousart,78,12000000
 N. Barella,76,13000000
 M. Faraoni,70,1000000
 S. Fofana,75,9000000
 F. Higuaín,77,7000000
 F. Smolov,81,19000000
 Malcom,82,33000000
 F. Gutiérrez,75,7000000
 Fransérgio,74,6000000
 A. Potuk,77,10000000
 Carraça,71,2000000
 Sebá,74,7000000
 M. Pasqual,73,875000
 S. Radu,80,11000000
 E. Albayrak,71,2000000
 A. Hahn,74,6000000
 T. Moulin,71,2000000
 F. Montero,76,7000000
 D. Welbeck,79,15000000
 C. Ledesma,71,725000
 Yoon Bit Garam,71,2000000
 N. Hult,74,4000000
 A. Jahanbakhsh,78,13000000
 E. Rigoni,78,13000000
 M. Hinteregger,77,10000000
 C. Charisis,70,2000000
 M. Hasebe,77,3000000
 J. Hendrix,77,10000000
 R. Shishkin,75,4000000
 O. Dembélé,83,40000000
 L. Vitale,70,1000000
 N. Pasquini,71,2000000
 G. Schennikov,75,6000000
 T. Matlaba,74,4000000
 J. Palmieri,72,2000000
 Dalbert,75,7000000
 E. Şen,72,2000000
 F. Vázquez,81,18000000
 E. Didot,75,2000000
 Claudemir,74,5000000
 K. Linetty,76,10000000
 André Sousa,73,4000000
 R. Marin,74,8000000
 S. Jovetić,80,16000000
 P. Mpoku,74,6000000
 M. Bakalorz,74,4000000
 R. Freuler,76,9000000
 J. Guilavogui,80,15000000
 L. Krejčí,76,10000000
 A. Barillà,67,725000
 Rúben Micael,73,3000000
 Y. Yotún,73,4000000
 S. Doumbia,77,9000000
 M. Frantz,73,3000000
 A. Ramírez,74,1000000
 Y. Endo,71,160000
 Merino,75,10000000
 R. Lawal,72,2000000
 T. Foket,73,4000000
 E. Kaçe,71,3000000
 C. Kwon,73,5000000
 Naldo,84,9000000
 Williams,81,24000000
 G. Higuaín,90,77000000
 S. Arias,78,10000000
 Iñigo Martínez,82,22000000
 D. Lezcano,73,4000000
 Somália,73,4000000
 D. Gosling,73,4000000
 S. Marveaux,74,4000000
 M. Harnik,77,8000000
 N. De Préville,77,9000000
 H. Lozano,79,17000000
 Go Yo Han,71,2000000
 E. Ruud,69,400000
 A. Nagy,74,8000000
 G. Ramírez,79,15000000
 J. Ledley,73,3000000
 A. Konradsen,70,1000000
 K. Vacek,73,3000000
 Y. Yazıcı,75,10000000
 A. Bedoya,74,5000000
 M. Frýdek,69,1000000
 P. Lees-Melou,76,9000000
 V. Guzmán,71,3000000
 A. Trondsen,71,3000000
 M. Flamini,75,2000000
 M. Tisserand,75,7000000
 V. Vada,73,5000000
 O. Hiljemark,73,5000000
 N. Amiri,78,14000000
 D. Gorter,68,850000
 S. Salihović,72,2000000
 Pascoal Muscato,74,5000000
 I. Scocco,77,7000000
 J. Meram,72,3000000
 Jozabed,77,10000000
 J. Schlupp,72,3000000
 A. Schöpf,77,12000000
 B. Oviedo,72,2000000
 L. Antonelli,76,5000000
 D. Warmerdam,70,2000000
 Iñigo Pérez,72,2000000
 M. Piedrahita,71,1000000
 P. Schiattarella,73,3000000
 B. Hämäläinen,71,1000000
 S. Pocognoli,71,1000000
 Silas Almeim,75,6000000
 F. Rinaudo,72,2000000
 Gabrisco Aníbal,75,6000000
 Felipe,72,3000000
 C. Taylor,74,6000000
 N. Dirar,77,8000000
 R. Gosens,71,3000000
 A. Surman,76,7000000
 R. Leonard,69,1000000
 A. Limbombe,75,9000000
 G. Cameron,75,4000000
 M. Albornoz,71,2000000
 L. Seijas,71,2000000
 G. Cimirot,73,5000000
 M. Gaćinović,75,9000000
 Baiano,75,4000000
 Ricardinho,68,500000
 H. Lansbury,72,3000000
 S. Holmén,72,1000000
 C. Leemans,70,2000000
 F. Cerro,73,3000000
 Pedro León,80,14000000
 A. Traoré,74,5000000
