Name,Overall,Value
 L. Biglia,82,€15M
 Gabi,81,€10.5M
 David Luiz,84,€23M
 Y. Rakitskyi,80,€14.5M
 T. Vilhena,77,€11.5M
 L. Paredes,80,€19.5M
 Eliseu,76,€3M
 X. Shaqiri,82,€26.5M
 E. Cavani,88,€57M
 G. Sigurðsson,81,€18.5M
 D. Rose,81,€15M
 Bruno César,76,€8M
 Thiago Silva,87,€29M
 J. Wilshere,81,€21.5M
 B. Schweinsteiger,80,€11M
 Maurício,76,€6M
 Neymar,92,€119.5M
 M. Mandžukić,83,€23.5M
 J. Holebas,77,€3.4M
 E. Banega,83,€25M
 F. Belluschi,80,€9M
 Rafael,78,€9M
 D. Glushakov,77,€6.5M
 D. De Rossi,83,€10.5M
 Mariano,79,€8M
 M. Brozović,80,€18M
 Rúben Neves,78,€13.5M
 V. Darida,79,€14.5M
 R. Soriano,78,€11M
 J. Draxler,84,€39.5M
 Miguel Veloso,77,€6M
 Beñat,81,€16.5M
 A. Di María,84,€30.5M
 De Marcos,80,€11.5M
 Y. Tielemans,79,€20M
 Grimaldo,80,€17.5M
 Cédric,78,€10.5M
 Sergi Roberto,82,€23M
 Lucas Leiva,82,€16.5M
 Andeson Trigo,75,€5M
 M. Arnautović,81,€18.5M
 A. Golovin,79,€17M
 B. Džemaili,77,€7.5M
 D. Baselli,79,€15.5M
 Mario Gaspar,80,€14M
 A. Oxlade-Chamberlain,81,€23M
 C. Eriksen,88,€74.5M
 V. Wanyama,81,€18.5M
 A. Ayew,78,€11M
 J. Veretout,78,€13.5M
 D. Kombarov,73,€2.9M
 M. Ekici,77,€9.5M
 J. Vertonghen,86,€33M
 T. Mangani,78,€9.5M
 S. Agüero,89,€66.5M
 Mário Fernandes,81,€15M
 André Gomes,82,€30M
 S. Corchia,77,€8.5M
 P. Groß,78,€12.5M
 P. Dybala,89,€89M
 R. Brady,77,€10.5M
 Illarramendi,81,€18M
 D. Zappacosta,79,€13.5M
 F. Ghoulam,80,€14M
 Portu,78,€13M
 J. Willems,76,€8.5M
 D. Sidibé,79,€12.5M
 D. Didavi,81,€18.5M
 Cesc Fàbregas,85,€35.5M
 D. Klaassen,80,€18.5M
 T. Müller,86,€47.5M
 M. Bradley,77,€7M
 K. Trippier,80,€14M
 B. Natcho,78,€10M
 G. Donsah,75,€9.5M
 L. Fer,77,€9M
 Thiago Mendes,76,€9.5M
 J. Obi,75,€7.5M
 N. Fekir,84,€40.5M
 M. Kovačić,82,€30M
 M. Lemina,77,€11.5M
 J. Vardy,82,€21.5M
 Y. Touré,80,€7M
 O. Yokuşlu,76,€9M
 T. Arslan,76,€7.5M
 Campaña,79,€15.5M
 Capa,78,€10.5M
 D. Brosinski,76,€6M
 Rômulo,76,€7.5M
 Coutinho,87,€63M
 Fernando,79,€14M
 O. Ndidi,80,€17.5M
 K. Volland,81,€22.5M
 M. Weiser,78,€11.5M
 D. Drinkwater,80,€15M
 Wendel,74,€10.5M
 A. Marušić,77,€11.5M
 M. Díaz,77,€8M
 C. Jallet,76,€3M
 A. Martial,83,€36.5M
 M. Risse,77,€9.5M
 T. Kalachev,73,€1.4M
 A. Robben,87,€30.5M
 Juanfran,82,€12.5M
 H. Çalhanoğlu,80,€19.5M
 J. Hendrick,75,€8M
 C. Borges,78,€8M
 Ricardo Esgaio,77,€11.5M
 Y. Zhirkov,75,€2.6M
 D. Blind,80,€12M
 V. Koziello,77,€12M
 R. Battaglia,77,€10.5M
 F. Tabanou,73,€3.2M
 S. Zuber,76,€7.5M
 M. Plattenhardt,78,€10.5M
 J. Pied,73,€3.2M
 I. Piatti,80,€11.5M
 B. Zungu,75,€9M
 Gayà,79,€14M
 L. Zuffi,75,€6.5M
 M. Antonio,79,€13.5M
 M. Höger,76,€8M
 J. Gondorf,75,€6.5M
 M. Wakaso,74,€6.5M
 Joãozinho,78,€10.5M
 Júnior Caiçara,76,€6M
 N. Şahin,79,€10M
 L. Dendoncker,77,€10.5M
 Everticinho,77,€6.5M
 S. Coleman,81,€14M
 J. Dueñas,75,€5.5M
 J. Ward-Prowse,77,€12M
 A. Doucouré,80,€16.5M
 G. Zusi,72,€2.2M
 T. Rincón,77,€8.5M
 A. Candreva,81,€17M
 Giuliano,83,€29.5M
 M. Arnold,79,€16.5M
 A. Ioniţă,75,€7M
 D. Pabón,77,€8.5M
 Victor Sánchez,78,€8M
 P. Aubameyang,87,€52M
 J. Cork,78,€10.5M
 M. Götze,83,€33M
 J. Pastore,83,€25.5M
 A. Silva,75,€7M
 M. Hummels,90,€62.5M
 J. Sánchez Miño,73,€3.3M
 R. Pereyra,79,€15M
 J. Roussillon,77,€10M
 O. Wendt,77,€6M
 Borja Valero,82,€17M
 J. Allen,78,€10.5M
 G. Gönül,77,€4.9M
 M. Lowton,78,€8M
 L. Sané,85,€54M
 A. Hutchinson,80,€4.5M
 S. Vrsaljko,80,€15.5M
 N. Bentaleb,79,€16.5M
 André Simões,77,€9M
 J. Lerma,76,€10M
 E. Belözoğlu,79,€4M
 P. Hernández,80,€13.5M
 A. Büttner,73,€3.2M
 L. Castro,78,€10.5M
 Y. Ayoub,76,€10M
 A. Pléa,80,€19M
 P. Mamaev,78,€10.5M
 M. Debuchy,77,€6M
 Willian,84,€31.5M
 B. André,77,€9.5M
 J. Lingard,81,€22.5M
 Iniesta,87,€29.5M
 J. Guðmundsson,78,€11M
 Marlos,82,€21.5M
 A. Mooy,78,€12M
 E. Insúa,76,€6M
 O. Trejo,77,€8.5M
 E. Dier,81,€19.5M
 Souza,79,€10M
 M. Rashford,81,€26.5M
 R. Karsdorp,77,€10M
 M. Isla,77,€6.5M
 K. Demirbay,80,€19.5M
 H. Son,84,€39.5M
 A. Regattin,76,€9M
 O. Onazi,74,€6M
 M. Benassi,77,€11.5M
 T. Partey,80,€17.5M
 J. Hector,80,€12M
 S. Mané,84,€37M
 Bernat,77,€9.5M
 G. Gillet,75,€2.7M
 Taison,82,€21.5M
 J. dos Santos,77,€9M
 André André,76,€8M
 L. Torreira,78,€14.5M
 N. Cardozo,76,€7.5M
 F. Frei,75,€6.5M
 C. Gardner,72,€2.9M
 L. Digne,79,€14M
 A. Trebel,77,€10.5M
 Iago Aspas,84,€30.5M
 J. Amavi,76,€8.5M
 L. Bacuna,70,€2.2M
 M. Kruse,82,€22M
 Escudero,79,€10.5M
 Vieirinha,77,€8M
 P. Capelle,75,€6M
 Melvin Parrela,75,€5M
 A. Lacazette,84,€37M
 Carlos Soler,78,€16M
 D. Mertens,87,€48.5M
 C. Maggio,74,€1.2M
 N. Clyne,81,€17M
 E. Lamela,80,€17.5M
 D. Pröpper,77,€11M
 M. Sabitzer,81,€22.5M
 Iborra,81,€14M
 V. Behrami,75,€3.8M
 J. Lukaku,77,€12M
 J. Bryan,75,€7.5M
 Lucas,82,€27.5M
 A. Cresswell,74,€5.5M
 I. Denisov,80,€6M
 J. Buffarini,75,€5.5M
 Juanfran,76,€6M
 M. Çağıran,74,€6.5M
 L. Podolski,78,€8M
 S. Lichtsteiner,80,€5.5M
 Montoya,78,€10M
 M. Diamé,74,€5M
 J. Shelvey,78,€12.5M
 L. Vangioni,76,€5.5M
 Sergio Busquets,87,€41M
 D. Kuzyaev,77,€11M
 M. Schneiderlin,80,€12.5M
 N. Keïta,83,€34M
 Fabián,77,€12M
 O. Şahiner,75,€8M
 A. Samedov,79,€10M
 B. Dejaegere,74,€6.5M
 Felipe Anderson,81,€22.5M
 M. Pereyra,77,€9M
 S. Siani,73,€3.7M
 L. Bender,83,€21M
 Léo Matos,75,€4.4M
 R. Zobnin,78,€12.5M
 Lucas Vázquez,82,€26M
 A. González,74,€7.5M
 M. Halstenberg,78,€10M
 Yuri Berchiche,78,€8.5M
 P. Lasne,76,€7.5M
 E. Salvio,80,€16M
 K. El Ahmadi,79,€9.5M
 I. Smolnikov,79,€10M
 B. Davies,81,€18.5M
 T. Alderweireld,85,€35M
 Carvajal,84,€32M
 M. Krohn-Dehli,77,€4.5M
 Nélson Semedo,81,€20.5M
 Koo Ja Cheol,76,€8M
 Alberto Moreno,77,€9.5M
 D. Janmaat,76,€6.5M
 H. Ziyech,81,€23M
 R. Alessandrini,78,€10.5M
 Y. Sankharé,76,€8M
 Paulo Mesqueira,72,€2.7M
 P. Zieliński,80,€20.5M
 A. Candelo,72,€2.7M
 Aleix Vidal,76,€6.5M
 Danilo,76,€10.5M
 I. Gueye,82,€18.5M
 M. Jensen,74,€5.5M
 A. Schürrle,79,€13.5M
 J. Berthomier,72,€3.3M
 K. Gameiro,82,€21.5M
 K. Honda,79,€11M
 D. Payet,84,€29.5M
 T. Hazard,82,€28M
 Y. M'Vila,79,€12.5M
 S. Widmer,76,€9.5M
 A. Duncan,75,€9M
 M. Depay,81,€24M
 Emilio Piodão,74,€5M
 K. Kampl,82,€25.5M
 M. Fellaini,79,€12M
 U. Emanuelson,73,€3.4M
 D. Aogo,74,€4.1M
 M. Rybus,71,€2M
 Ismaily,78,€8.5M
 L. Ocampos,76,€10.5M
 S. N'Zonzi,83,€21M
 T. Taiwo,71,€1.3M
 A. Masuaku,76,€9M
 Jaume Costa,79,€9.5M
 G. Lo Celso,77,€12.5M
 Elias Fontoira,73,€1.6M
 O. Tufan,75,€7.5M
 C. Brunt,74,€4.4M
 J. Martin,76,€8M
 Rodrigo,81,€21M
 A. Yarmolenko,81,€18.5M
 V. Rongier,78,€14M
 S. Zaza,82,€26.5M
 Danilo Pereira,83,€27.5M
 J. Jankto,76,€11.5M
 A. Kokorin,80,€17.5M
 K. Mirallas,79,€12.5M
 M. Topal,78,€7M
 C. Hourihane,74,€6.5M
 E. Polański,74,€3.8M
 D. Türüç,75,€8.5M
 L. Milivojević,78,€11M
 M. de Roon,76,€9M
 K. Acosta,72,€4.5M
 Marco Asensio,84,€46M
 G. Sertic,73,€3.4M
 Rafael Carioca,77,€9M
 R. Malinovskyi,74,€7.5M
 P. Sisto,77,€12.5M
 C. Doukouré,74,€6.5M
 Granell,75,€6.5M
 R. Durmisi,73,€4.7M
 Nacho Monreal,80,€10M
 Raffael,81,€14M
 L. De Silvestri,77,€6.5M
 A. Gómez,84,€31M
 L. Pellegrini,78,€14M
 E. Mas,75,€5.5M
 D. Stotskiy,73,€3.3M
 V. Berisha,75,€8.5M
 J. De Guzmán,75,€6.5M
 A. Najar,73,€4.3M
 D. Sinkgraven,74,€6M
 K. Rausch,72,€2.6M
 Bartra,81,€18M
 Elustondo,74,€5M
 S. Özbayraklı,75,€5.5M
 Pablo Fornals,78,€15.5M
 L. Schøne,76,€6.5M
 L. Shaw,78,€11.5M
 A. Adnan,73,€4.9M
 Bernardo Silva,84,€42.5M
 Raul García,74,€4.4M
 Camacho,81,€17M
 João Aurélio,74,€4.4M
 J. Mathieu,81,€7M
 G. Escalante,78,€12.5M
 V. van Dijk,84,€31.5M
 M. Rojo,80,€14M
 B. Douglas,74,€4.6M
 Rubén Peña,74,€6M
 R. Espinoza,72,€2.9M
 M. Fernández,78,€9M
 Bruno,82,€13M
 J. Svensson,75,€7M
 Z. Ibrahimović,85,€17.5M
 P. Aguilar,76,€5M
 Q. Promes,83,€31M
 P. Armero,72,€2.2M
 Costinha,76,€10M
 D. Stephens,75,€6.5M
 L. Holtby,75,€8M
 F. Thauvin,83,€33M
 F. Coquelin,80,€14.5M
 R. Funes Mori,78,€12.5M
 R. Palacio,78,€4.8M
 N. Tagliafico,79,€13M
 Lekue,75,€7M
 R. Bertrand,79,€10.5M
 S. Verdi,81,€22M
 D. Latza,77,€9M
 B. Dabo,73,€4.9M
 S. Eto'o,81,€6.5M
 David Simão,74,€6M
 Ki Sung Yueng,76,€7.5M
 B. Oczipka,78,€8M
 M. Noble,76,€7M
 L. Bittencourt,78,€13.5M
 Falcao,85,€34.5M
 C. Mayada,73,€3.4M
 M. Fabián,79,€13M
 Jonas,84,€19.5M
 R. Lukaku,86,€59M
 O. Pineda,74,€8M
 J. McCarthy,78,€10M
 I. Köybaşı,74,€4.6M
 T. Cairney,78,€12M
 M. Diouf,77,€9M
 Mariano,80,€20M
 M. Badelj,79,€10M
 B. Johnson,70,€1.6M
 K. Nakamura,73,€1.3M
 M. Boland,72,€2.9M
 Ibai Gómez,76,€8M
 J. Hernández,75,€6M
 S. Armstrong,75,€8M
 Tiago Pinto,74,€4.3M
 P. van Aanholt,75,€6.5M
 S. Johansen,74,€6.5M
 D. Suárez,74,€4.3M
 H. Arter,76,€8M
 L. Rupp,76,€9M
 T. Ciğerci,75,€7M
 A. Hurtado,78,€10M
 A. Correa,80,€20.5M
 N. Asare,74,€4.1M
 D. Zurutuza,79,€11.5M
 T. Stepanenko,80,€14M
 R. Sterling,85,€49M
 Sérgio Oliveira,76,€10M
 David Silva,89,€58.5M
 Gabriel,75,€9M
 S. Ward,76,€5M
 A. Erokhin,74,€6M
 Kiko Femenía,76,€7.5M
 J. Błaszczykowski,75,€6M
 P. Diop,76,€5M
 Pedro Santos,75,€6.5M
 W. Ben Yedder,81,€19.5M
 L. Augustinsson,75,€7.5M
 O. Zinchenko,70,€2.8M
 Bruno Alves,74,€1.3M
 J. Akpa Akpro,74,€7.5M
 V. Kovalenko,74,€8.5M
 Fábio Martins,77,€12M
 E. Višća,80,€15.5M
 Claudiano Sobrino,74,€2.3M
 O. Alonso,76,€5M
 A. Costa,73,€3M
 Aduriz,84,€11M
 A. Acquah,73,€4.7M
 A. Christiansen,73,€4.1M
 P. Schwegler,76,€5.5M
 E. Skhiri,75,€7.5M
 Rúben Ribeiro,76,€7.5M
 Santi Cazorla,80,€11M
 P. Wernbloom,80,€10M
 Sidney Pessinho,77,€8M
 L. Melgarejo,74,€6M
 Fran Mérida,73,€3.8M
 M. Meyer,79,€17M
 Nildo Petrolina,73,€3.5M
 Granero,78,€10M
 F. Schär,77,€9.5M
 Marçal,77,€7M
 Morales,79,€12.5M
 Adrián González,74,€4.4M
 J. Larsson,71,€2M
 Y. Gerhardt,75,€7.5M
 Gabriel Jesus,83,€41M
 F. Mussis,75,€7M
 Luiz Gustavo,82,€17M
 M. Ritchie,76,€8M
 D. Williams,71,€2.4M
 J. Fleck,73,€4.8M
 M. Vecino,79,€13.5M
 N. Chadli,78,€11M
 B. Sarr,76,€7.5M
 S. Rode,77,€8.5M
 Denis Suárez,80,€20.5M
 B. Alemán,74,€6M
 J. Fernández,73,€3.9M
 J. Farfán,79,€10M
 F. Midtsjø,75,€8.5M
 R. Barkley,80,€19M
 G. Vural,72,€3M
 J. Schmid,74,€6M
 Y. Gourcuff,77,€8.5M
 Enzo Merques,71,€900K
 J. Puncheon,73,€3.4M
 S. Arfield,73,€4M
 J. Irvine,71,€3.1M
 Edercinho Sepa,74,€4.4M
 Alex Berenguer,76,€10.5M
 G. Pizarro,78,€10M
 J. Morrison,75,€6M
 S. Dubarbier,73,€2.6M
 G. Medel,81,€14M
 C. Immobile,86,€47.5M
 R. Tapia,73,€4.5M
 D. Kaiser,72,€3.1M
 E. Barreto,74,€4.3M
 Zeca,74,€5.5M
 S. Kums,75,€6.5M
 G. Shibasaki,75,€7M
 A. Gignac,81,€16M
 D. González,76,€7.5M
 A. Barák,77,€12.5M
 Lucas Lima,75,€6.5M
 Wendell,77,€9.5M
 V. Birsa,80,€14M
 R. Sambueza,76,€4.7M
 E. Schelotto,75,€5.5M
 Ronaldo Cabrais,76,€8.5M
 João Pereira,75,€2.6M
 D. Valeri,80,€13M
 H. Medunjanin,76,€6M
 Castro,74,€5.5M
 C. Daniels,75,€4.8M
 O. Martínez,74,€4.8M
 D. van de Beek,77,€12.5M
 Raphinha,79,€18M
 D. D'Ambrosio,76,€6M
 Fábio Espinho,74,€4.9M
 A. Ring,74,€6M
 A. Frączczak,69,€1.1M
 A. Behich,74,€5.5M
 J. Toornstra,76,€8M
 Santi Mina,77,€12.5M
 L. Christodoulopoulos,75,€6.5M
 J. Tavernier,73,€4.1M
 Rodri,77,€13.5M
 P. Zabaleta,76,€4.3M
 B. Bourigeaud,74,€7.5M
 Recio,77,€9M
 T. Alexander-Arnold,75,€9.5M
 F. Bernardeschi,82,€30.5M
 D. Kreilach,74,€5.5M
 A. Oğuz,73,€4.3M
 S. de Jong,74,€5.5M
 S. Davis,75,€5M
 S. Okazaki,77,€8M
 J. Gbamin,78,€12M
 S. Larsson,72,€2.4M
 E. Gutiérrez,76,€11M
 Sergio Álvarez,77,€11M
 G. İnler,76,€3.1M
 R. Boudebouz,81,€18.5M
 Javi Martínez,84,€25M
 A. Poli,76,€8M
 S. Wuytens,73,€3.4M
 L. Dubois,77,€10.5M
 Héctor Bellerín,80,€17M
 C. Adam,73,€3.4M
 Omar Mascarell,77,€10M
 André Almeida,78,€10M
 B. Jokič,75,€4.4M
 Y. Erdoğan,73,€4.9M
 G. Dorrans,73,€3.7M
 S. Brown,77,€5M
 A. Browne,70,€2.6M
 Juan Mata,83,€25.5M
 P. Højbjerg,76,€10M
 I. Ghaleb,72,€2.7M
 Pedrinho,73,€5.5M
 V. Germain,79,€13.5M
 P. Max,78,€11M
 B. Kayal,72,€3M
 Carlos Eduardo,77,€9.5M
 E. Akbaba,76,€10.5M
 Y. Brahimi,84,€32.5M
 Aitor Sanz,75,€3.8M
 J. McClean,73,€4M
 Pedro,83,€25.5M
 A. Elmohamady,72,€2.4M
 Miguel Lopes,78,€7.5M
 Douglas Santos,75,€7.5M
 M. Olsson,75,€5M
 William,70,€1.6M
 J. Ferri,74,€6.5M
 L. Bonucci,86,€33M
 F. Mendy,75,€9M
 H. Henao,71,€1.8M
 Toño García,75,€5.5M
 Welington Dano,76,€6M
 A. Zambo Anguissa,75,€8.5M
 Sergio Tejera,74,€6M
 José Callejón,83,€24.5M
 Everton Andrão,76,€3.1M
 M. Almirón,80,€19.5M
 I. Traoré,80,€14.5M
 R. Cohade,74,€4.3M
 A. Robertson,79,€14M
 M. Schmelzer,79,€9.5M
 L. Diarra,80,€8.5M
 G. Mendes Rodrigues,78,€11M
 G. Xhaka,82,€27.5M
 F. Andone,79,€16.5M
 K. Malcuit,75,€6.5M
 Diogo Figueiras,74,€5.5M
 Guilherme,76,€7.5M
 C. Roldan,73,€4.7M
 R. Oshima,71,€2.5M
 D. Cheryshev,76,€8.5M
 J. Livermore,74,€6M
 Roberto Torres,74,€5.5M
 M. Gajos,72,€3.6M
 B. Ivanović,82,€9M
 M. Estigarribia,72,€3M
 E. Haji Safi,70,€1.5M
 A. Rojas,73,€3.4M
 Borja García,77,€10.5M
 L. Perrin,81,€12M
 O. El Kaddouri,76,€9M
 J. Dátolo,77,€5.5M
 M. Suttner,73,€2.9M
 Arbilla,74,€4.1M
 S. Kljestan,74,€4.9M
 S. Igboun,75,€7.5M
 G. Fernández,75,€8M
 M. Darmian,78,€8.5M
 A. Thomasson,74,€7M
 C. Paterson,70,€2.5M
 J. Lens,79,€12.5M
 R. Mahrez,84,€33.5M
 A. Cohen,73,€3.2M
 S. İnan,75,€5M
 R. Dartés,73,€1.5M
 Oswaldito Cuba,73,€1.5M
 B. Sagna,75,€1.9M
 C. Träsch,75,€5M
 M. Jojić,75,€8M
 Pedro Obiang,77,€9.5M
 R. Bazoer,75,€10M
 M. Albrighton,76,€8M
 K. Gibbs,77,€7.5M
 Nolito,79,€12M
 V. Ignatiev,72,€2.2M
 D. Praet,76,€10M
 Javi García,78,€7.5M
 Vitolo,83,€27M
 J. Obita,71,€2.8M
 R. Woods,72,€3.5M
 L. Bailey,82,€30.5M
 M. Zeegelaar,75,€6.5M
 O. Şahan,74,€5.5M
 S. Padoin,72,€1.2M
 L. Insigne,87,€59M
 P. Piatti,80,€15M
 R. Haps,75,€7M
 J. Boateng,87,€41M
 P. Ebert,73,€3.8M
 Bruma,80,€20M
 G. Castellani,72,€3M
 Dani Ceballos,78,€16.5M
 D. Demme,79,€13M
 C. Stuani,79,€12M
 C. Löwe,73,€3.2M
 Juankar,74,€4.6M
 S. Prediger,69,€975K
 Y. Candelo,71,€2.6M
 Lafortiscinho,75,€6M
 B. Traoré,79,€17.5M
 O. Adın,70,€1.6M
 O. Elabdellaoui,74,€6M
 I. Afellay,75,€6M
 J. Gutiérrez,74,€3.3M
 L. Rigoni,75,€5M
 R. Álvarez,75,€6.5M
 I. Latovlevici,71,€1.6M
 J. Ayew,77,€10.5M
 A. Tettey,71,€1.6M
 N. Lodeiro,77,€9M
 C. Baeza,72,€4.2M
 D. Torres,77,€8.5M
 Camarasa,76,€10.5M
 R. Bobadilla,76,€7.5M
 B. Reid,73,€5.5M
 N. Müller,78,€10M
 S. Ristovski,75,€7M
 Nuno Pinto,75,€4.8M
 G. Johnson,73,€2.2M
 E. Bicfalvi,75,€6.5M
 M. Britos,75,€7M
 Óliver Torres,79,€16.5M
 R. Yabo,74,€7M
 Renato Neto,74,€7M
 A. Aquilani,75,€5M
 G. Saville,73,€5M
 M. Casco,73,€3M
 Diego Rico,76,€8.5M
 D. Baier,79,€5M
 Diego Costa,85,€40M
 V. Denisov,79,€9M
 Odriozola,78,€13.5M
 M. Dahoud,79,€18.5M
 E. Hallfreðsson,72,€1.8M
 I. Cofie,72,€3.8M
 J. Sala,72,€3.1M
 J. Poulsen,74,€3.3M
 C. Kouyaté,76,€6.5M
 M. Stendera,75,€9.5M
 O. Bayram,69,€1.1M
 Kaimo Lima,75,€2.7M
 P. De Blasis,76,€7.5M
 Bruno Xadas,74,€9.5M
 M. Gonalons,76,€6M
 M. Jajalo,73,€3.8M
 J. Ralls,73,€5.5M
 S. Gashi,70,€1.8M
 T. Cleverley,76,€8M
 T. Chandler,77,€7.5M
 K. Wolze,70,€1.5M
 Piqué,87,€37.5M
 Mossoró,76,€4.7M
 D. Laxalt,78,€13M
 T. Barnetta,75,€5M
 J. Güemez,69,€1.3M
 J. Vázquez,77,€7M
 Ronaldo Esler,77,€6.5M
 B. Watson,73,€2.7M
 D. Santon,75,€5.5M
 T. Xhaka,73,€4M
 Javi Fuego,79,€5M
 D. Arias,73,€2.3M
 E. Capoue,76,€6M
 L. Cigarini,75,€5.5M
 H. Afful,72,€2M
 David Villa,81,€8M
 M. Saracchi,72,€4.7M
 D. Yedlin,76,€8.5M
 L. Tousart,78,€12.5M
 N. Barella,76,€13.5M
 M. Faraoni,70,€1.8M
 S. Fofana,75,€9M
 F. Higuaín,77,€7M
 F. Smolov,81,€19M
 Malcom,82,€33M
 F. Gutiérrez,75,€7.5M
 Fransérgio,74,€6.5M
 A. Potuk,77,€10.5M
 Carraça,71,€2.6M
 Sebá,74,€7M
 M. Pasqual,73,€875K
 S. Radu,80,€11M
 E. Albayrak,71,€2.3M
 A. Hahn,74,€6M
 T. Moulin,71,€2.2M
 F. Montero,76,€7.5M
 D. Welbeck,79,€15M
 C. Ledesma,71,€725K
 Yoon Bit Garam,71,€2.4M
 N. Hult,74,€4.6M
 A. Jahanbakhsh,78,€13M
 E. Rigoni,78,€13M
 M. Hinteregger,77,€10M
 C. Charisis,70,€2.3M
 M. Hasebe,77,€3.6M
 J. Hendrix,77,€10.5M
 R. Shishkin,75,€4.8M
 O. Dembélé,83,€40M
 L. Vitale,70,€1.3M
 N. Pasquini,71,€2.3M
 G. Schennikov,75,€6.5M
 T. Matlaba,74,€4.3M
 J. Palmieri,72,€2.2M
 Dalbert,75,€7.5M
 E. Şen,72,€2.5M
 F. Vázquez,81,€18M
 E. Didot,75,€2.7M
 Claudemir,74,€5.5M
 K. Linetty,76,€10.5M
 André Sousa,73,€4.3M
 R. Marin,74,€8M
 S. Jovetić,80,€16M
 P. Mpoku,74,€6.5M
 M. Bakalorz,74,€4.7M
 R. Freuler,76,€9.5M
 J. Guilavogui,80,€15M
 L. Krejčí,76,€10M
 A. Barillà,67,€725K
 Rúben Micael,73,€3.7M
 Y. Yotún,73,€4.1M
 S. Doumbia,77,€9M
 M. Frantz,73,€3.7M
 A. Ramírez,74,€1.8M
 Y. Endo,71,€160K
 Merino,75,€10M
