Special,Value,Age,Overall
2134,12000000,25,79
2134,13000000,30,80
2133,9000000,27,77
2133,5000000,33,77
2132,11000000,31,79
2132,10000000,29,78
2131,15000000,27,80
2131,39000000,28,85
2129,35000000,23,84
2128,6000000,29,77
2127,14000000,26,80
2127,42000000,29,86
2126,18000000,24,81
2126,42000000,21,84
2125,14000000,29,80
2125,36000000,23,84
2123,31000000,28,84
2123,21000000,29,82
2122,43000000,27,86
2122,16000000,30,81
2122,95000000,26,91
2121,14000000,28,80
2120,5000000,31,76
2120,20000000,26,81
2120,76000000,23,88
2119,9000000,26,76
2119,55000000,25,86
2118,13000000,30,81
2118,30000000,26,83
2118,13000000,31,80
2118,13000000,24,79
2117,10000000,24,76
2117,18000000,27,81
2117,15000000,31,82
2116,10000000,33,81
2115,23000000,30,84
2115,14000000,27,80
2114,11000000,22,77
2114,19000000,23,80
2113,3000000,33,76
2112,26000000,25,82
2111,57000000,30,88
2110,18000000,27,81
2110,15000000,26,81
2110,8000000,28,76
2108,29000000,32,87
2106,21000000,25,81
2106,11000000,32,80
2105,6000000,28,76
2105,119000000,25,92
2104,23000000,31,83
2104,3000000,33,77
2103,25000000,29,83
2102,9000000,33,80
2102,9000000,26,78
2102,6000000,30,77
2101,10000000,33,83
2100,8000000,31,79
2099,18000000,24,80
2098,13000000,20,78
2098,14000000,26,79
2098,11000000,26,78
2097,39000000,23,84
2097,6000000,31,77
2097,16000000,30,81
2097,30000000,29,84
2096,11000000,28,80
2096,20000000,20,79
2096,17000000,21,80
2096,10000000,25,78
2095,23000000,25,82
2095,16000000,30,82
2094,5000000,29,75
2094,18000000,28,81
2094,17000000,21,79
2094,7000000,31,77
2092,15000000,25,79
2091,14000000,26,80
2091,23000000,23,81
2091,74000000,25,88
2090,18000000,26,81
2089,11000000,27,78
2089,13000000,24,78
2088,2000000,30,73
2088,9000000,27,77
2088,33000000,30,86
2087,9000000,30,78
2087,66000000,29,89
2087,15000000,26,81
2087,30000000,23,82
2086,8000000,26,77
2086,12000000,26,78
2086,89000000,23,89
2086,10000000,25,77
2085,18000000,27,81
2085,13000000,25,79
2084,14000000,26,80
2084,13000000,25,78
2082,8000000,23,76
2082,12000000,24,79
2082,18000000,27,81
2082,35000000,30,85
2082,18000000,24,80
2081,47000000,27,86
2081,7000000,29,77
2081,14000000,26,80
2081,10000000,29,78
2081,9000000,21,75
2080,9000000,27,77
2080,9000000,25,76
2080,7000000,26,75
2079,40000000,23,84
2079,30000000,23,82
2078,11000000,23,77
2077,21000000,30,82
2077,7000000,34,80
2077,9000000,23,76
2077,7000000,26,76
2077,15000000,24,79
2076,10000000,25,78
2076,6000000,28,76
2075,7000000,30,76
2074,63000000,25,87
2074,14000000,25,79
2073,17000000,20,80
2073,22000000,24,81
2073,11000000,23,78
2073,15000000,27,80
2072,10000000,19,74
2072,11000000,24,77
2072,8000000,30,77
2072,3000000,33,76
2072,36000000,21,83
2072,9000000,27,77
2071,1000000,36,73
2071,30000000,33,87
2070,12000000,32,82
2070,19000000,23,80
2070,8000000,25,75
2070,8000000,29,78
2070,11000000,24,77
2070,2000000,33,75
2069,12000000,27,80
2069,12000000,21,77
2069,10000000,25,77
2069,3000000,28,73
2069,7000000,25,76
2069,10000000,25,78
2068,3000000,28,73
2068,11000000,32,80
2068,9000000,24,75
2068,14000000,22,79
2068,6000000,27,75
2068,13000000,27,79
2068,8000000,27,76
2068,6000000,29,75
2068,6000000,26,74
2068,10000000,28,78
2067,6000000,28,76
2067,10000000,28,79
2067,10000000,22,77
2067,6000000,29,77
2067,14000000,28,81
2066,5000000,28,75
2066,12000000,22,77
2066,16000000,24,80
2066,2000000,30,72
2066,8000000,29,77
2066,17000000,30,81
2066,29000000,27,83
2066,16000000,23,79
2066,7000000,26,75
2066,8000000,29,77
2065,8000000,29,78
2065,52000000,28,87
2064,10000000,28,78
2064,33000000,25,83
2064,25000000,28,83
2064,7000000,27,75
2063,62000000,28,90
2063,3000000,27,73
2063,15000000,26,79
2063,10000000,24,77
2062,6000000,31,77
2062,17000000,32,82
2062,10000000,27,78
2062,4000000,32,77
2062,8000000,28,78
2062,54000000,21,85
2062,4000000,34,80
2062,15000000,25,80
2062,16000000,22,79
2062,9000000,27,77
2062,10000000,22,76
2062,4000000,36,79
2061,13000000,30,80
2061,3000000,28,73
2061,10000000,28,78
2061,10000000,23,76
2061,19000000,24,80
2061,10000000,28,78
2061,6000000,31,77
2061,31000000,28,84
2061,9000000,26,77
2061,22000000,24,81
2060,29000000,33,87
2060,11000000,26,78
2060,21000000,29,82
2060,12000000,26,78
2059,6000000,28,76
2058,8000000,29,77
2057,19000000,23,81
2057,10000000,28,79
2057,26000000,19,81
2057,10000000,22,77
2057,6000000,29,77
2056,19000000,23,80
2056,39000000,24,84
2056,9000000,25,76
2056,6000000,24,74
2056,11000000,22,77
2056,17000000,24,80
2055,12000000,27,80
2055,37000000,25,84
2054,9000000,24,77
2054,2000000,33,75
2054,21000000,29,82
2054,9000000,27,77
2053,8000000,27,76
2053,14000000,21,78
2053,7000000,30,76
2053,6000000,28,75
2052,2000000,30,72
2052,14000000,23,79
2052,10000000,26,77
2052,30000000,29,84
2052,8000000,23,76
2052,2000000,25,70
2052,22000000,29,82
2051,10000000,27,79
2051,8000000,31,77
2051,6000000,30,75
2050,5000000,29,75
2050,37000000,26,84
2050,16000000,20,78
2050,48000000,30,87
2049,1000000,35,74
2049,17000000,26,81
2049,17000000,25,80
2049,11000000,25,77
2049,22000000,23,81
2048,14000000,29,81
2048,3000000,32,75
2048,12000000,22,77
2048,7000000,23,75
2047,27000000,24,82
2047,5000000,27,74
2047,6000000,33,80
2047,5000000,28,75
2047,6000000,28,76
2046,6000000,24,74
2046,8000000,32,78
2046,5000000,33,80
2046,10000000,26,78
2046,5000000,30,74
2046,12000000,25,78
2045,5000000,30,76
2045,41000000,28,87
2045,11000000,24,77
2044,12000000,27,80
2044,34000000,22,83
2044,12000000,21,77
2044,8000000,25,75
2043,10000000,32,79
2043,6000000,26,74
2043,22000000,24,81
2043,9000000,27,77
2043,3000000,30,73
2042,21000000,28,83
2042,4000000,31,75
2042,12000000,23,78
2042,26000000,26,82
2041,7000000,22,74
2041,10000000,25,78
2041,8000000,27,78
2041,7000000,28,76
2041,16000000,26,80
2040,9000000,32,79
2040,10000000,28,79
2040,18000000,24,81
2040,35000000,28,85
2039,32000000,25,84
2039,4000000,34,77
2039,20000000,23,81
2039,8000000,28,76
2038,9000000,24,77
2038,6000000,27,76
2038,23000000,24,81
2038,10000000,28,78
2038,8000000,27,76
2037,2000000,25,72
2037,20000000,23,80
2037,2000000,25,72
2037,6000000,27,76
2037,10000000,21,76
2037,18000000,27,82
2037,5000000,29,74
2036,13000000,26,79
2036,3000000,27,72
2036,21000000,30,82
2036,11000000,31,79
2035,29000000,30,84
2035,28000000,24,82
2035,12000000,27,79
2034,9000000,24,76
2034,9000000,24,75
2034,24000000,23,81
2034,5000000,25,74
2034,25000000,26,82
2033,12000000,29,79
2033,3000000,31,73
2033,4000000,30,74
2032,2000000,27,71
2032,8000000,27,78
2032,10000000,22,76
2032,21000000,28,83
2031,1000000,32,71
2031,9000000,23,76
2031,9000000,29,79
2031,12000000,21,77
2031,1000000,33,73
2031,7000000,22,75
2031,4000000,32,74
2031,8000000,27,76
2030,21000000,26,81
2030,18000000,27,81
2030,14000000,22,78
2030,26000000,26,82
2029,27000000,25,83
2029,11000000,21,76
2029,17000000,26,80
2029,12000000,29,79
2029,7000000,31,78
2029,6000000,26,74
2029,3000000,31,74
2029,8000000,24,75
2028,11000000,26,78
2028,9000000,26,76
2028,4000000,21,72
2028,46000000,21,84
2028,3000000,27,73
2028,9000000,28,77
2028,7000000,24,74
2027,12000000,22,77
2027,6000000,24,74
2027,6000000,28,75
2027,4000000,23,73
2027,10000000,31,80
2027,14000000,32,81
2027,6000000,29,77
2026,31000000,29,84
2026,14000000,21,78
2026,5000000,28,75
2026,3000000,27,73
2026,8000000,24,75
2026,6000000,29,75
2026,4000000,24,73
2026,6000000,21,74
2026,2000000,27,72
2026,18000000,26,81
2025,5000000,30,74
2025,5000000,27,75
2024,15000000,21,78
2024,6000000,31,76
2024,11000000,21,78
2024,4000000,23,73
2024,42000000,22,84
2024,4000000,28,74
2024,17000000,27,81
2024,4000000,28,74
2023,7000000,33,81
2023,12000000,24,78
2023,31000000,25,84
2023,14000000,27,80
2023,4000000,27,74
2023,6000000,25,74
2023,2000000,30,72
2022,9000000,31,78
2022,13000000,33,82
2022,7000000,24,75
2022,17000000,35,85
2021,5000000,31,76
2021,31000000,25,83
2021,2000000,30,72
2021,10000000,24,76
2021,6000000,28,75
2021,8000000,26,75
2020,33000000,24,83
2020,14000000,26,80
2020,12000000,26,78
2020,4000000,35,78
2019,13000000,24,79
2019,7000000,24,75
2019,10000000,27,79
2019,22000000,24,81
2019,9000000,27,77
2019,4000000,25,73
2019,6000000,36,81
2019,6000000,27,74
2019,7000000,28,76
2018,8000000,28,78
2018,7000000,30,76
2018,13000000,23,78
2018,34000000,31,85
2018,3000000,26,73
2018,13000000,27,79
2018,19000000,33,84
2018,59000000,24,86
2017,8000000,21,74
2017,10000000,26,78
2017,4000000,27,74
2017,12000000,26,78
2017,9000000,29,77
2017,20000000,23,80
2017,10000000,28,79
2016,1000000,30,70
2016,1000000,36,73
2016,2000000,30,72
2016,8000000,27,76
2016,6000000,28,75
2016,8000000,25,75
2016,4000000,29,74
2016,6000000,26,75
2016,6000000,26,74
2016,4000000,29,74
2016,8000000,27,76
2015,9000000,26,76
2015,7000000,25,75
2015,10000000,30,78
2015,20000000,22,80
2014,4000000,30,74
2014,11000000,30,79
2014,14000000,27,80
2014,49000000,22,85
2014,10000000,25,76
2013,58000000,31,89
2013,9000000,23,75
2013,5000000,31,76
2013,6000000,27,74
2013,7000000,26,76
2012,6000000,31,75
2012,5000000,31,76
2012,6000000,29,75
2012,19000000,26,81
2011,7000000,23,75
2011,2000000,20,70
2011,1000000,35,74
2011,7000000,24,74
2011,8000000,21,74
2011,12000000,23,77
2011,15000000,27,80
2010,2000000,33,74
2010,5000000,31,76
2010,3000000,32,73
2010,11000000,36,84
2010,4000000,25,73
2010,4000000,27,73
2009,5000000,30,76
2009,7000000,22,75
2009,7000000,29,76
2009,11000000,32,80
2009,10000000,31,80
2009,8000000,25,77
2009,6000000,26,74
2008,3000000,27,73
2008,17000000,21,79
2008,3000000,31,73
2008,10000000,29,78
2008,9000000,25,77
2008,7000000,28,77
2008,12000000,29,79
2008,4000000,29,74
2007,2000000,27,71
2007,7000000,23,75
2007,41000000,20,83
2007,7000000,25,75
2006,17000000,29,82
2006,8000000,27,76
2006,2000000,28,71
2006,4000000,25,73
2006,13000000,25,79
2006,11000000,27,78
2006,7000000,25,76
2006,8000000,26,77
2005,20000000,23,80
2005,6000000,27,74
2005,3000000,29,73
2005,10000000,32,79
2005,8000000,23,75
2005,19000000,23,80
2005,3000000,29,72
2005,6000000,27,74
2004,8000000,30,77
2004,900000,33,71
2004,3000000,31,73
2004,4000000,28,73
2004,3000000,24,71
2004,4000000,29,74
2004,10000000,21,76
2004,10000000,27,78
2003,6000000,31,75
2003,2000000,31,73
2003,14000000,29,81
2003,47000000,27,86
2003,4000000,21,73
2002,3000000,28,72
2002,4000000,32,74
2001,5000000,28,74
2001,6000000,29,75
2001,7000000,25,75
2001,16000000,31,81
2000,7000000,29,76
2000,12000000,22,77
2000,6000000,25,75
2000,9000000,23,77
2000,14000000,30,80
2000,4000000,33,76
2000,5000000,28,75
2000,8000000,25,76
1999,2000000,33,75
1999,13000000,31,80
1999,6000000,32,76
1999,5000000,29,74
1999,4000000,30,75
1999,4000000,31,74
1998,12000000,20,77
1998,18000000,20,79
1998,6000000,28,76
1998,4000000,31,74
1998,6000000,26,74
1997,1000000,29,69
1997,5000000,26,74
1997,8000000,28,76
1997,12000000,21,77
1997,6000000,30,75
1996,4000000,25,73
1996,13000000,21,77
1996,4000000,32,76
1996,7000000,23,74
1996,9000000,26,77
1995,9000000,18,75
1995,30000000,23,82
1995,5000000,28,74
1995,4000000,24,73
1995,5000000,28,74
1995,5000000,32,75
1995,8000000,31,77
1994,12000000,21,78
1994,2000000,32,72
1993,11000000,22,76
1993,11000000,25,77
1993,3000000,33,76
1993,18000000,27,81
1993,25000000,28,84
1993,8000000,27,76
1992,3000000,27,73
1992,10000000,22,77
1992,17000000,22,80
1992,3000000,31,73
1992,10000000,24,77
1992,10000000,26,78
1992,4000000,31,75
1991,4000000,24,73
1991,3000000,30,73
1991,5000000,32,77
1991,2000000,22,70
1991,25000000,29,83
1990,10000000,21,76
1990,2000000,26,72
1990,5000000,24,73
1990,13000000,27,79
1990,11000000,23,78
1990,3000000,29,72
1990,9000000,27,77
1990,10000000,24,76
1990,32000000,27,84
1990,3000000,32,75
1990,4000000,28,73
1989,25000000,29,83
1989,2000000,29,72
1989,7000000,30,78
1989,7000000,23,75
1989,5000000,29,75
1988,1000000,30,70
1988,6000000,25,74
1988,33000000,30,86
1988,9000000,22,75
1988,1000000,30,71
1988,5000000,27,75
1988,6000000,29,76
1988,8000000,21,75
1988,6000000,27,74
1987,24000000,30,83
1987,3000000,33,76
1987,19000000,23,80
1987,14000000,29,80
1987,4000000,32,74
1987,14000000,23,79
1987,9000000,29,79
1987,8000000,32,80
1987,11000000,26,78
1987,27000000,24,82
1987,16000000,24,79
1986,6000000,25,75
1986,5000000,26,74
1986,7000000,26,76
1986,4000000,22,73
1986,2000000,24,71
1986,8000000,26,76
1986,6000000,27,74
1986,5000000,28,74
1986,3000000,26,72
1986,9000000,33,82
1986,3000000,29,72
1986,1000000,27,70
1986,3000000,31,73
1986,10000000,26,77
1986,12000000,31,81
1985,9000000,26,76
1985,5000000,33,77
1985,2000000,30,73
1985,4000000,30,74
1985,4000000,31,74
1985,7000000,26,75
1984,8000000,25,75
1984,8000000,27,78
1984,7000000,23,74
1984,2000000,22,70
1984,12000000,29,79
1984,33000000,26,84
1984,3000000,28,73
1984,5000000,32,75
1984,1000000,33,73
1984,1000000,33,73
1984,1000000,34,75
1983,5000000,29,75
1983,8000000,25,75
1983,9000000,25,77
1983,10000000,20,75
1983,8000000,27,76
1983,7000000,27,77
1983,12000000,30,79
1983,2000000,30,72
1983,10000000,23,76
1983,7000000,30,78
1983,27000000,27,83
1982,2000000,23,71
1982,3000000,23,72
1982,30000000,19,82
1982,6000000,26,75
1982,5000000,30,74
1982,1000000,33,72
1982,59000000,26,87
1982,15000000,28,80
1982,7000000,24,75
1981,41000000,28,87
1981,3000000,30,73
1981,20000000,22,80
1981,3000000,29,72
1981,16000000,20,78
1981,13000000,25,79
1980,12000000,30,79
1980,3000000,28,73
1980,4000000,27,74
1980,975000,30,69
1980,2000000,25,71
1980,6000000,25,75
1980,17000000,21,79
1980,1000000,31,70
1980,6000000,25,74
1979,6000000,31,75
1979,3000000,33,74
1979,5000000,32,75
1979,6000000,29,75
1979,1000000,31,71
1979,10000000,25,77
1979,1000000,31,71
1979,9000000,28,77
1978,4000000,23,72
1978,8000000,27,77
1978,10000000,23,76
1978,7000000,30,76
1978,5000000,24,73
1978,10000000,29,78
1978,7000000,25,75
1978,4000000,30,75
1977,2000000,32,73
1977,6000000,29,75
1977,7000000,28,75
1977,16000000,22,79
1977,7000000,25,74
1977,7000000,25,74
1977,5000000,32,75
1977,5000000,24,73
1976,3000000,29,73
1976,8000000,24,76
1976,5000000,33,79
1976,40000000,28,85
1976,9000000,30,79
1976,13000000,21,78
1976,18000000,21,79
1976,1000000,33,72
1975,3000000,25,72
1975,3000000,25,72
1975,3000000,33,74
1975,6000000,27,76
1975,9000000,21,75
1975,1000000,25,69
1975,2000000,33,75
1975,7000000,29,76
1975,9000000,19,74
1974,6000000,28,76
1974,3000000,29,73
1974,5000000,23,73
1974,1000000,28,70
1974,8000000,27,76
1974,7000000,27,77
1974,1000000,27,70
1974,37000000,30,87
1974,4000000,33,76
1974,13000000,24,78
1974,5000000,32,75
1973,1000000,25,69
1973,7000000,29,77
1973,6000000,29,77
1973,2000000,31,73
1973,5000000,26,75
1973,4000000,26,73
1973,5000000,33,79
1973,2000000,32,73
1973,6000000,28,76
1972,5000000,31,75
1972,2000000,31,72
1972,8000000,35,81
1972,4000000,19,72
1972,8000000,23,76
1972,12000000,20,78
1972,13000000,20,76
1972,1000000,25,70
1972,9000000,22,75
1972,7000000,32,77
1972,19000000,27,81
1972,33000000,20,82
1972,7000000,26,75
1972,6000000,26,74
1972,10000000,26,77
1972,2000000,24,71
1972,7000000,25,74
1972,875000,35,73
1972,11000000,30,80
1971,2000000,26,71
1971,6000000,26,74
1971,2000000,27,71
1971,7000000,29,76
1971,15000000,26,79
1970,725000,34,71
1970,2000000,27,71
1970,4000000,27,74
1970,13000000,23,78
1970,13000000,24,78
1970,10000000,24,77
1970,2000000,22,70
1970,3000000,33,77
1970,10000000,22,77
1969,4000000,30,75
1969,40000000,20,83
1969,1000000,29,70
1969,2000000,26,71
1969,6000000,26,75
1969,4000000,29,74
1969,2000000,30,72
1969,7000000,23,75
1968,2000000,28,72
1968,18000000,28,81
1968,2000000,33,75
1968,5000000,29,74
1968,10000000,22,76
1968,4000000,26,73
1968,8000000,21,74
1968,16000000,27,80
1968,6000000,25,74
1968,4000000,27,74
1967,9000000,25,76
1967,15000000,26,80
1967,10000000,24,76
1967,725000,29,67
1967,3000000,30,73
1967,4000000,27,73
1967,9000000,29,77
1967,3000000,30,73
1967,1000000,36,74
1967,160000,37,71
1966,10000000,21,75
1966,2000000,27,72
1966,4000000,22,73
1966,3000000,23,71
1966,5000000,23,73
1966,9000000,34,84
1966,24000000,23,81
1965,77000000,29,90
1965,10000000,25,78
1965,22000000,26,82
1965,4000000,27,73
1965,4000000,28,73
1965,4000000,27,73
1965,4000000,31,74
1965,8000000,30,77
1965,9000000,26,77
1964,17000000,21,79
1964,2000000,29,71
1964,400000,33,69
1964,8000000,22,74
1964,15000000,26,79
1964,3000000,30,73
1964,1000000,26,70
1964,3000000,30,73
1963,10000000,20,75
1963,5000000,30,74
1963,1000000,25,69
1963,9000000,24,76
1963,3000000,22,71
1963,3000000,22,71
1963,2000000,33,75
1963,7000000,24,75
1963,5000000,21,73
1963,5000000,25,73
1963,14000000,20,78
1963,850000,29,68
1963,2000000,32,72
1963,5000000,25,74
1963,7000000,32,77
1963,3000000,28,72
1963,10000000,26,77
1963,3000000,24,72
1962,12000000,23,77
1962,2000000,27,72
1962,5000000,30,76
1962,2000000,21,70
1962,2000000,29,72
1962,1000000,32,71
1962,3000000,30,73
1962,1000000,28,71
1962,1000000,29,71
1962,6000000,25,75
1962,2000000,30,72
1961,6000000,25,75
1961,3000000,26,72
1961,6000000,23,74
1961,8000000,31,77
1961,3000000,22,71
1961,7000000,30,76
1961,1000000,25,69
1961,9000000,22,75
1961,4000000,31,75
1960,2000000,26,71
1960,2000000,31,71
1960,5000000,24,73
1960,9000000,22,75
1960,4000000,30,75
1960,500000,32,68
1960,3000000,26,72
1960,1000000,33,72
1960,2000000,21,70
1960,3000000,29,73
1959,14000000,30,80
1959,5000000,28,74
1959,8000000,22,75
1959,2000000,27,71
1959,4000000,26,73
1959,10000000,29,78
1959,10000000,24,77
1959,1000000,28,70
1959,3000000,27,72
1959,11000000,25,77
1959,8000000,26,76
1958,3000000,23,72
1958,6000000,29,76
1958,15000000,22,79
1958,1000000,26,69
1958,3000000,33,74
1958,3000000,24,71
1958,3000000,27,72
1958,1000000,25,69
1958,3000000,25,73
1957,17000000,22,80
1957,6000000,26,74
1957,2000000,25,70
1957,925000,26,68
1957,2000000,33,73
1957,4000000,26,73
1957,11000000,23,76
1957,10000000,22,76
1957,5000000,29,75
1957,7000000,21,74
1957,275000,37,73
1957,8000000,30,77
1957,21000000,30,82
1956,7000000,28,76
1956,3000000,29,73
1955,8000000,27,76
1955,2000000,26,71
1955,3000000,24,71
1955,10000000,28,78
1955,2000000,31,73
1954,1000000,29,70
1954,2000000,27,72
1954,19000000,30,83
1954,4000000,24,73
1954,15000000,26,79
1954,22000000,26,81
1954,4000000,21,73
1954,3000000,29,72
1954,14000000,22,78
1954,7000000,29,77
1954,6000000,32,76
1953,3000000,31,74
1953,7000000,27,76
1953,7000000,28,77
1953,4000000,24,72
1953,3000000,33,75
1953,4000000,32,77
1953,38000000,29,85
1953,4000000,25,73
1953,15000000,25,80
1952,2000000,22,70
1952,3000000,30,73
1952,8000000,22,76
1952,11000000,21,76
1952,1000000,29,70
1952,3000000,26,73
1952,1000000,33,72
1952,5000000,30,74
1952,4000000,25,73
1952,2000000,33,75
1952,4000000,30,74
1952,1000000,29,71
1951,4000000,25,73
1951,2000000,31,72
1951,2000000,18,69
1951,1000000,29,70
1951,8000000,28,78
1951,4000000,26,73
1951,12000000,21,77
1951,3000000,29,73
1951,2000000,24,71
1951,1000000,33,72
1950,12000000,28,79
1950,10000000,25,77
1950,6000000,29,76
1950,9000000,26,77
1950,18000000,27,81
1950,18000000,29,81
1950,275000,36,71
1950,19000000,25,80
1950,1000000,27,70
1950,3000000,24,71
1949,1000000,29,70
1949,3000000,23,72
1949,3000000,27,73
1949,18000000,26,81
1949,7000000,29,76
1949,6000000,20,73
1949,19000000,34,85
1949,4000000,24,72
1948,3000000,27,73
1948,6000000,27,74
1948,1000000,33,72
1948,6000000,23,73
1948,12000000,28,79
1948,7000000,30,76
1948,7000000,22,74
1948,5000000,28,75
1947,10000000,25,78
1947,9000000,27,77
1947,1000000,30,70
1947,5000000,24,73
1947,3000000,31,73
1947,7000000,30,76
1947,2000000,31,71
1946,2000000,31,72
1946,1000000,33,70
1946,10000000,20,76
1946,2000000,26,71
1946,4000000,30,75
1946,5000000,25,74
1946,8000000,26,76
1946,13000000,21,77
1946,1000000,28,71
1946,3000000,26,72
1946,4000000,24,72
1945,12000000,19,75
1945,1000000,30,70
1945,10000000,22,76
1945,6000000,30,75
1945,7000000,22,75
1945,10000000,24,76
1945,9000000,30,79
1945,4000000,30,75
1945,15000000,33,83
1944,8000000,29,78
1944,18000000,26,80
1944,5000000,29,75
1944,8000000,19,74
1944,1000000,26,69
1944,4000000,29,74
1944,775000,36,75
1944,7000000,27,77
1943,16000000,24,79
1943,1000000,32,72
1943,2000000,23,70
1943,18000000,28,82
1943,3000000,31,73
1943,1000000,27,70
1943,3000000,30,73
1943,1000000,27,70
1943,2000000,25,70
1943,3000000,26,73
1942,725000,33,70
1942,12000000,28,79
1942,28000000,25,82
1942,1000000,29,71
1942,2000000,28,72
1942,7000000,25,75
1942,13000000,27,79
1942,28000000,24,82
1942,10000000,20,75
1942,2000000,26,71
1942,5000000,30,76
1942,500000,34,69
1942,4000000,24,73
1942,1000000,36,72
1942,6000000,28,75
1942,6000000,29,75
1942,1000000,28,70
1942,3000000,28,73
1941,17000000,23,79
1941,3000000,23,71
1941,1000000,30,71
1941,2000000,30,73
1941,7000000,23,74
1941,9000000,25,76
1941,5000000,31,76
1941,700000,32,68
1941,14000000,30,80
1940,2000000,30,72
1940,5000000,25,74
1940,1000000,33,72
1940,26000000,25,83
1940,8000000,29,78
1940,7000000,25,74
1940,15000000,27,80
1939,5000000,19,72
1939,3000000,33,76
1939,10000000,20,75
1939,21000000,30,82
1939,10000000,24,76
1939,17000000,21,80
1938,9000000,21,75
1938,12000000,26,78
1938,1000000,34,73
1938,14000000,29,80
1938,1000000,32,70
1938,575000,32,69
1938,4000000,30,75
1938,7000000,25,74
1938,13000000,23,79
1938,11000000,25,78
1938,2000000,33,72
1938,3000000,34,76
1938,1000000,29,70
1938,17000000,27,81
1938,6000000,26,75
1938,14000000,32,81
1938,5000000,23,73
1938,5000000,23,73
1937,3000000,25,72
1937,8000000,19,74
1937,1000000,35,71
1937,1000000,36,76
1937,3000000,31,74
1937,3000000,24,72
1937,1000000,24,68
1937,40000000,31,88
1937,400000,33,69
1937,3000000,27,72
1937,1000000,34,72
1936,5000000,27,75
1936,10000000,29,78
1936,3000000,29,72
1936,6000000,25,75
1936,10000000,24,76
1936,1000000,26,69
1936,1000000,27,70
1936,9000000,28,77
1936,1000000,29,71
1936,9000000,21,75
1936,3000000,28,72
1936,1000000,26,70
1936,9000000,22,75
1936,2000000,26,71
1935,1000000,30,71
1935,10000000,29,79
1935,8000000,30,77
1935,2000000,22,71
1935,6000000,25,74
1935,3000000,32,73
1935,1000000,32,70
1935,7000000,27,75
1935,2000000,26,71
1935,2000000,31,72
1935,12000000,22,78
1935,8000000,25,76
1935,4000000,29,74
1934,2000000,25,70
1934,13000000,20,77
1934,1000000,33,72
1934,4000000,23,73
1934,4000000,23,72
1934,2000000,32,72
1934,5000000,30,74
1934,4000000,25,73
1934,13000000,24,78
1934,5000000,20,72
1934,27000000,25,82
1934,5000000,25,73
1934,4000000,22,73
1934,4000000,27,73
1934,5000000,26,74
1934,4000000,27,73
1933,3000000,26,72
1933,9000000,24,76
1933,4000000,26,73
1933,3000000,29,72
1933,1000000,29,71
1933,2000000,33,75
1933,3000000,28,73
1932,900000,33,71
1932,3000000,34,75
1932,7000000,29,76
1932,2000000,30,71
1932,2000000,31,73
1932,8000000,20,75
1932,875000,27,69
1932,2000000,26,71
1932,25000000,22,81
1932,1000000,30,70
1932,975000,30,69
1931,24000000,24,81
1931,3000000,25,71
1931,875000,34,70
1931,3000000,22,71
1931,6000000,26,75
1931,18000000,28,81
1931,2000000,31,71
1931,12000000,28,79
1931,30000000,29,85
1931,1000000,29,71
1930,6000000,27,75
1930,7000000,32,77
1930,3000000,32,75
1930,1000000,31,70
1930,4000000,28,73
1930,9000000,28,77
1930,3000000,24,71
1930,2000000,32,73
1930,9000000,25,76
1930,8000000,19,74
1930,650000,27,67
1930,3000000,28,72
